job_title,experience,location,vacancy_id,source_site,link,min_salary,max_salary,currency,employer,employer_page
Бизнес-аналитик,Опыт от 1 года до 3 лет,"Москва, Павелецкая и еще 1 ",83410091,https://hh.ru,https://hh.ru/vacancy/83410091?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,,150000.0,RUB,ООО Брайт Софт,https://hh.ru/employer/4151479?hhtmFrom=vacancy_search_list
Аналитик,Опыт от 1 года до 3 лет,"Москва, Алтуфьево",84452650,https://hh.ru,https://hh.ru/vacancy/84452650?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,70000.0,100000.0,RUB,ИП Колбина Александра Александровна,https://hh.ru/employer/4670339?hhtmFrom=vacancy_search_list
Стажер аналитик-стратег / бизнес-консультант,Без опыта,"Москва, Белорусская",82061892,https://hh.ru,https://hh.ru/vacancy/82061892?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,60000.0,,RUB,Paper Planes,https://hh.ru/employer/1272817?hhtmFrom=vacancy_search_list
Контент-менеджер / Рыночный аналитик,Опыт от 1 года до 3 лет,Москва,83299184,https://hh.ru,https://hh.ru/vacancy/83299184?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,70000.0,,RUB,ООО Бт Рохан Адвайзерс,https://hh.ru/employer/9944593?hhtmFrom=vacancy_search_list
Аналитик Power BI (стажер),Без опыта,Москва,83970385,https://hh.ru,https://hh.ru/vacancy/83970385?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,25000.0,,RUB,ИП Ельмикеев Евгений Иванович,https://hh.ru/employer/4714154?hhtmFrom=vacancy_search_list
Системный аналитик,Опыт от 3 до 6 лет,Москва,82302472,https://hh.ru,https://hh.ru/vacancy/82302472?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,250000.0,300000.0,RUB,Бизнес-Азимут,https://hh.ru/employer/701365?hhtmFrom=vacancy_search_list
Ведущий аналитик,Опыт от 1 года до 3 лет,"Москва, Парк культуры и еще 2 ",83823518,https://hh.ru,https://hh.ru/vacancy/83823518?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,120000.0,,RUB,ГАЛА-ЦЕНТР,https://hh.ru/employer/1274827?hhtmFrom=vacancy_search_list
Бизнес-аналитик (junior),Опыт от 1 года до 3 лет,"Москва, Красносельская и еще 1 ",83245000,https://hh.ru,https://hh.ru/vacancy/83245000?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,50000.0,70000.0,RUB,ООО ТРИММ МЕДИЦИНСКИЕ СИСТЕМЫ,https://hh.ru/employer/2524169?hhtmFrom=vacancy_search_list
Категорийный менеджер / аналитик,Опыт от 1 года до 3 лет,"Москва, Полежаевская и еще 2 ",84411806,https://hh.ru,https://hh.ru/vacancy/84411806?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,,,,look.online,https://hh.ru/employer/3345111?hhtmFrom=vacancy_search_list
Аналитик,Опыт от 1 года до 3 лет,"Москва, Планерная",82110273,https://hh.ru,https://hh.ru/vacancy/82110273?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,120000.0,,RUB,ООО Контроль ИТ,https://hh.ru/employer/2425637?hhtmFrom=vacancy_search_list
Аналитик,Опыт от 1 года до 3 лет,"Москва, Чертановская",84342925,https://hh.ru,https://hh.ru/vacancy/84342925?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,,,,ЗАО Лидер - Управляющая Компания,https://hh.ru/employer/49632?hhtmFrom=vacancy_search_list
